March 19 - 20	0	0	0	0	*			
March 20 - 21	0	0	0	0	*			
March 21 - 22	0	0	1	7		*		 
March 22 - 23	0	0	0	0	*			
March 23 - 24	0	5	3	1		*		
March 24 - 25	4	0	0	0	*			
March 25 - 26	3	1	1	1		*		
March 26 - 27	0	0	0	0	*			
March 27 - 28	0	0	0	0	*			
March 28 - 29	0	0	0	0	*			
March 29 - 30	0	0	0	3	*			
March 30 - 31	1	0	0	0	*			
March 31 - 01	0	0	0	0	*			
April 1 - 2	0	0	0	0	*			
April 2 - 3	0	0	0	0	*			
April 3 - 4	0	0	0	0	*			
April 4 - 5	0	0	0	0	*			
April 5 - 6	0	0	0	0	*			
April 6 - 7	0	0	0	0	*			
April 7 - 8	0	0	0	4	*			
April 8 - 9	0	0	0	0	*			
April 9 - 10	0	0	0	0	*			
April 10 - 11	0	0	0	0	*			
April 11 - 12	3	2	2	3		*		
April 12 - 13	0	0	0	0	*			
April 13 - 14	0	0	0	0	*			
April 14 - 15	3	4	5	3		*		
April 15 - 16	6	7	8	8			*	
April 16 - 17	6	7	8	8			*	
April 17 - 18	7	2	1	1		*		
April 18 - 19	1	1	1	1		*		
April 19 - 20	0	0	0	1	*			
April 20 - 21	0	2	2	1		*		
April 21 - 22	0	0	0	0	*			
April 22 - 23	1	2	2	1		*		
April 23 - 24	5	2	1	1		*		
April 24 - 25	2	1	0	0		*		
April 25 - 26	0	0	0	0	*			
April 26 - 27	2	1	0	0		*		
April 27 - 28	1	1	0	1		*		
April 28 - 29	1	1	0	0		*		
April 29 - 30	1	1	4	2		*		
April 30 - 01	0	0	0	0	*			
May 1 - 2	2	2	3	2		*		
May 2 - 3	6	6	8	8			*	
May 3 - 4	1	1	1	1		*		
May 4 - 5	0	0	0	0	*			
May 5 - 6	0	0	0	0	*			
May 6 - 7	0	0	0	0	*			
May 7 - 8	0	0	1	1		*		
May 8 - 9	3	5	4	3		*		
May 9 - 10	5	8	8	8			*	
May 10 - 11	0	0	0	0	*			
May 11 - 12	5	4	4	5		*		
May 12 - 13	7	4	5	5		*		
May 13 - 14	3	4	5	4		*		
May 14 - 15	3	4	5	5		*		
May 15 - 16	0	5	4	4		*		
May 16 - 17	0	0	0	0	*			
May 17 - 18	0	0	0	0	*			
May 18 - 19	2	3	3	4		*		
May 19 - 20	8	8	8	8			*	
May 20 - 21	8	8	8	8			*	Rain & Snow
May 21 - 22	8	8	8	8			*	Rain & Snow
May 22 - 23	0	0	0	0	*			
May 23 - 24	0	0	0	0	*			
